Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf
1517603,6068L Gliding Patio Dr 4500 United Blk Ext/WH Int LowE Arg w/J,United Window & Door,-- No Unilog Brand --,-- No DIB Brand --,United Window & Door Manufacturing (UNIWI)
1517604,6068L Gliding Patio Dr 4500 United White LowE Arg w/J,United Window & Door,-- No Unilog Brand --,-- No DIB Brand --,United Window & Door Manufacturing (UNIWI)
1517605,6068R Gliding Patio Dr 4500 United White LowE Arg w/J,United Window & Door,-- No Unilog Brand --,-- No DIB Brand --,United Window & Door Manufacturing (UNIWI)
FS C01 2004S,"FS C01 Velux Fxd Skylt Gry/Wh - w/Solar Shade RO 21""x26-7/8""",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Velux America Inc (VELAM)
FS C04 2004S,"FS C04 Velux Fxd Skylt Gry/Wh - w/Solar Shade RO 21""x37-7/8""",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Velux America Inc (VELAM)
FS C06 2004S,"FS C06 Velux Fxd Skylt Gry/Wh - w/Solar Shade RO 21""x45-7/8""",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Velux America Inc (VELAM)
1501831,31.5x14.75 Bsmt ecoLitePlus WH - Hopper DLA w/Screen,PROVIA,-- No Unilog Brand --,-- No DIB Brand --,ProVia (PRODO)
1501832,31.5x22.75 Bsmt ecoLitePlus WH - Hopper DLA w/Screen,PROVIA,-- No Unilog Brand --,-- No DIB Brand --,ProVia (PRODO)
1515974,3030 Slider 3900 United Black WH Int LowE-2 w/Half Scrn w/J,United Window & Door,-- No Unilog Brand --,-- No DIB Brand --,-
640383,"1/2"" 54""x10 Drywall Easi-Lite",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Certainteed Gypsum (2765)
653258,"5/8"" 4x9 Drywall Firelite",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Certainteed Gypsum (2765)
413S-DBA-36,"413S 36"" Alum Threshold DBZ",HAGER,-- No Unilog Brand --,-- No DIB Brand --,Hager Hinge Co (4189)
413S-DBA-72,"413S 72"" Alum Threshold DBZ",HAGER,-- No Unilog Brand --,-- No DIB Brand --,Hager Hinge Co (4189)
1511506,4'x65' Zip Rainscreen,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Huber Eng Wood LLC (3158)
1513577,1x8-12' Doug Fir STK Smooth 1S2E,COMMODITY - UNBRANDED,-- No Unilog Brand --,-- No DIB Brand --,Westwood Lumber Sales (WESLU)
1513578,1x8-16' Doug Fir STK Smooth 1S2E,COMMODITY - UNBRANDED,-- No Unilog Brand --,-- No DIB Brand --,Westwood Lumber Sales (WESLU)
1513579,1x12-12 'Doug Fir STK Smooth 1S2E,COMMODITY - UNBRANDED,-- No Unilog Brand --,-- No DIB Brand --,Westwood Lumber Sales (WESLU)
1513580,1x12-16' Doug Fir STK Smooth 1S2E,COMMODITY - UNBRANDED,-- No Unilog Brand --,-- No DIB Brand --,Westwood Lumber Sales (WESLU)
1501767,"3/4"" 4x8T&G Huber Blue PlusOSB - Sub Floor",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,-
PP-8BL,8' Premier Rib XL Black,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Premier Metals (PREME)
PP-10BL,10' Premier Rib XL Black,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Premier Metals (PREME)
PP-12BL,12' Premier Rib XL Black,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Premier Metals (PREME)
PP-8CH,8' Premier Rib XL Charcoal,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Premier Metals (PREME)
PP-10CH,10' Premier Rib XL Charcoal,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Premier Metals (PREME)
PP-12CH,12' Premier Rib XL Charcoal,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Premier Metals (PREME)
PP-8WH,8' Premier Rib XL White,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Premier Metals (PREME)
PP-10WH,10' Premier Rib XL White,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Premier Metals (PREME)
1504345,OC Duration TruDef Wburg Gray (BDL),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Palmer Donavin Mfg Company (PALDO)
2733,3'x65' Henry Eaveguard - Ice Guard,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Palmer Donavin Mfg Company (PALDO)
7547,Ice Guard OC Weathr Lk Mat 2sq,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,-
8912220,"7-1/4""x12' Hardie Sdg Smooth - Primed HardiePlank",JAMESHARDIE,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA)
8904015,4'x10' HardiePanel Smooth - Primed,JAMESHARDIE,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA)
25796,"6""x16' Smart Lap Sdg Cedar",LP SMARTSIDE,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073)
40503,"3/8"" 16""x16' Smart Pan Cedar - No-Groove Sq Edge B&B",LP SMARTSIDE,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073)
25825,"3/8"" 4x10 Smart Pan Cedar - No-Groove w/Shiplap Edges",LP SMARTSIDE,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073)
25822,"3/8"" 12""x16' Smart Vented Soff - Cedar Soffit",LP SMARTSIDE,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073)
