Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf
578808,578808 Festool 3x4 M GR PRO/10,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Festool USA (FESTO)
578809,578809 Festool 3x4 F GR PRO/10,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Festool USA (FESTO)
578810,578810 Festool 3x4 S GR PRO/10,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Festool USA (FESTO)
578811,578811 Festool 3x4 GR PRO/10-Set,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Festool USA (FESTO)
578192,578192 Festool D 150 GR SYS - Systainer Abrasive Set,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Festool USA (FESTO)
578806,578806 Festool Delta S GR PRO/10,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Festool USA (FESTO)
D0860X,"D0860X Diablo 8-1/4"" 60 Tooth - Fine Finish Saw Blade",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435)
48-40-0740,48-40-0740 Milw 7-1/4in. 24T - Framing Circ Saw Blade,-- Unbranded --,-- No Unilog Brand --,Milwaukee,Milwaukee Accessory (4031)
48-41-0740,48-41-0740 Milw7-1/4 24TFrming - Blade,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
A-96095,"A-96095 Makita 5-7/8"" 32T Saw Blade",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Makita Usa Inc (5142)
D0760UX,"D0760UX Diablo 7-1/4"" 60T Circ - Saw Blade",-- Unbranded --,-- No Unilog Brand --,Diablo,Freud Inc (2435)
230.312.08,230.312.08 CMT Locked Dado Pro Set,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,CMT USA Inc (CMTUS)
D0708LF,"D0708LF Saw Blade 7-1/4""x8 - Laminate & Wood Flooring",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435)
D1012LF,"D1012LF Saw Blade 10""x12Teeth - Laminate & Wood Flooring",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435)
D1216LF,"D1216LF Saw Blade 12""x16Teeth - Laminate & Wood Flooring",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435)
DWA47421,"DWA47421 Dewalt 14"" Segmented - Rim Diamond Blade",-- Unbranded --,-- No Unilog Brand --,DEWALT,Black & Decker/dewlt (2585)
DWA4769,"DWA4769 Dewalt Rim Glass Tile - Blade 10""",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Black & Decker/dewlt (2585)
49-93-9204,"49-93-9204 Milw 4-1/2"" Diamond - Tile Blade",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-93-9207,"49-93-9207 Milw 7"" Diamond - Tile Blade",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-93-9210,"49-93-9210 Milw 10"" Diamond - Tile Blade",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-93-9202,"49-93-9202 Milw 4"" Diamond - Tile Blade",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-93-9205,"49-93-9205 Milw 5"" Diamond - Tile Blade",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-22-4702,49-22-4702 Milw 13pc Quik-Lock Hole Dozer Kit,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
DJT155HHM,"DJT155HHM Diablo 3-3/5"" 10 TPI - Jig Saw Blade",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435)
790.82,790.820 CMT Planer Blade 2pc,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,CMT USA Inc (CMTUS)
794.321,794.321 HS Planer Knives 3pc,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,CMT USA Inc (CMTUS)
49-22-5641,49-22-5641 Milw Packout 15pc - Sawzall Blade Kit,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
D0604TSH,"D0604TSH Diablo 6-1/2"" 4-Tooth - Cement Track Saw Blade",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435)
D0620TSR,"D0620TSR Diablo 6-1/2""20 Tooth - Framing Saw Blade",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435)
D0648TSF,"D0648TSF Diablo 6-1/2""48 Tooth - Plywood Track Saw Blade",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435)
D0652TSL,"D0652TSL Diablo 6-1/2""52 Tooth - Laminate Track Saw Blade",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435)
JT1-549,"JT1-549 JWBS18SFX 18"" Bandsaw - 1.75HP 1PH 115V",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,JPW Industries (JPWIN)
JT1-1371,"JWBS14-SFX-BLK Jet 14"" Bandsaw - JT1-1371",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,JPW Industries (JPWIN)
JT9-714400K,"JWBS-14SFX 14"" Bandsaw JTP-714400K",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,JPW Industries (JPWIN)
2834-21HD,"2834-21HD Milw M18 7-1/4"" Circ - Saw Kit",-- Unbranded --,-- No Unilog Brand --,Milwaukee,Milwaukee Accessory (4031)
DCS383B,"DCS383B Dewalt 20V 7-1/4"" - Metal Cutting Circ Saw",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Black & Decker/dewlt (2585)
DCS590B,"DCS590B Dewalt 20V Cordless - 7-1/4"" Circular Saw (Bare)",-- Unbranded --,-- No Unilog Brand --,DEWALT,Black & Decker/dewlt (2585)
KPTCS725A,"KPTCS725A Kreg 20V Ionic 7-1/4"" Circ Saw",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kreg Tool Company (KRETO)
KPTCS450A,"KPTCS450A Kreg 20V Ionic 4-1/2"" Circ Saw",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kreg Tool Company (KRETO)
2545-20,2545-20 Milw M12 Jig Saw,-- Unbranded --,-- No Unilog Brand --,Milwaukee,Milwaukee Accessory (4031)
