Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf
DCBL724B,DCBL724B Dewalt 20V Max XR Blower (Bare),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Black & Decker/dewlt (2585)
2954-20,2954-20 Milw M18 Bluetooth Jobsite Speaker,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
2955-20,2955-20 Milw M12 Bluetooth - Jobsite Speaker w/Packout,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
9A-219-180,9A-219-180 Abranet 4x6x6,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS)
9A-219-120RP,9A-219-120RP Abranet 4x6x6,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS)
3033-20,"3033-20 Milw M18 24"" - Hedge Trimmer",-- Unbranded --,-- No Unilog Brand --,Milwaukee,Milwaukee Accessory (4031)
3033-21,"3033-21 Milw M18 24"" - Hedge Trimmer Kit",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
3034-20,"3034-20 Milw M18 30"" - Hedge Trimmer",-- Unbranded --,-- No Unilog Brand --,Milwaukee,Milwaukee Accessory (4031)
D25333K,D25333K Dewalt Hammer Drill,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Black & Decker/dewlt (2585)
DCD803B,DCD803B Dewalt Multi-Head Drill Driver,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Black & Decker/dewlt (2585)
DCF860B,DCF860B Dewalt 20V Impact - Driver Drill,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Black & Decker/dewlt (2585)
3401-20,3401-20 Milw M12 Drill Driver - Brushless Compact (Bare),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
KPTDR050A,KPTDR050A Kreg 20V Ionic Compact Drill,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kreg Tool Company (KRETO)
DCD1007B,"DCD1007B Dewalt 20V Cordless - 1/2"" Hammer Drill (Bare)",-- Unbranded --,-- No Unilog Brand --,DEWALT,Black & Decker/dewlt (2585)
DCD799B,DCD799B Dewalt Drill,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Black & Decker/dewlt (2585)
58006,58006 Voyager Drill Press,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,King Canada Inc (KINCA)
2909-20,2909-20 Milw Roofing Nailer - M18,-- Unbranded --,-- No Unilog Brand --,Milwaukee,Milwaukee Accessory (4031)
2909-21,2909-21 Milw M18 Coil Roofing - Nailer Kit,-- Unbranded --,-- No Unilog Brand --,Milwaukee,Milwaukee Accessory (4031)
918200,918200 Paslode CT200S24 18Ga ST Brad Nailer,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,National Nail Corp (7439)
2541-20,2541-20 Milw M12 - Compact Brad Nailer (Bare),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
DCN930B,DCN930B Dewalt 20V 30 Degree - Framing Nailer,-- Unbranded --,-- No Unilog Brand --,DEWALT,Black & Decker/dewlt (2585)
DCN930P1,DCN930P1 Dewalt 20V 30 Degree - Framing Nailer Kit,-- Unbranded --,-- No Unilog Brand --,DEWALT,Black & Decker/dewlt (2585)
