Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf
52772BK,52772BK Kichler Chandelier Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI)
82399,82399 Kichler Chandelier Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI)
65-771R3,65-771R3 Nuvo Highbay Light,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Satco Prod Inc (5573)
42955BK,42955BK Kichler Ceiling Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI)
42275BK,42275BK Kichler Ceiling Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI)
62-1850,"62-1850 11"" Led Ceiling Light",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Satco Prod Inc (5573)
62-1852,"62-1852 14"" Satco Led Ceiling Lt",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Satco Prod Inc (5573)
62-1875,"62-1875 10"" Led Ceiling Lt Bn",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Satco Prod Inc (5573)
62-1876,"62-1876 13"" Satco Ceiling Light BN",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Satco Prod Inc (5573)
42296BK,42296BK Kichler Ceiling Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI)
43913BK,43913BK Kichler Pendant Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI)
HLSMS9129FS1E,"HLSMS9129FS1E 9"" Motion Lt",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Cooper Lighting (7638)
64-110,64-110 Satco Tape Light 16',-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Satco Prod Inc (5573)
603571,603571 3' Strip Light Ext,-- Unbranded --,-- No Unilog Brand --,Wiz,Phillips Lighting (5831)
65-572R1,65572 Satco 2x4 Led Flat Panel,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Satco Prod Inc (5573)
52476AVI,52476AVI Kichler Pendant Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI)
42199BK,42199BK Kichler Pendant Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI)
42199BKCS,42199BKCS Kichler Pendant Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI)
42200BK,42200BK Kichler Pendant Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI)
42200BKCS,42200BKCS Kichler Pendant Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI)
43851BK,43851BK Kichler Pendant Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI)
43852BK,43852BK Kichler Pendant Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI)
43853BK,43853BK Kichler Pendant Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI)
43905BK,43905BK Kichler Pendant Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI)
43911BK,43911BK Kichler Pendant Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI)
52529BK,52529BK Kichler Pendant Light,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI)
52662BKCLR,52662BKCLR Kichler Pendant Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI)
52734CPZ,52734CPZ Kichler Pendant Light,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI)
82400,82400 Kichler Pendant Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI)
S11606,"S11606 8"" Round Down Lt 30K",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Satco Prod Inc (5573)
